Trial,Combination,Clients,Global Accuracy,Client 1 Accuracy,Client 2 Accuracy,Client 3 Accuracy,Client 4 Accuracy,Client 5 Accuracy,Client 6 Accuracy,Client 7 Accuracy,Client 8 Accuracy,Client 9 Accuracy,Client 10 Accuracy,Noise Std,Corrupted Clients,Num Samples,Max Iter
1,1111111111,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.6301795681371639,0.4084222050615341,0.37228375089197563,0.49536172666933853,0.556944702397826,0.5812650902728224,0.5956540014271611,0.5787137955640708,0.5227905885572967,0.5737382821282294,0.5519985141885221,0.3,8,350,10
2,1111111111,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.6379116528675184,0.41040654539056315,0.36484491842699485,0.5297015669446047,0.5869053088435108,0.5605517052619231,0.5803266830236263,0.566690452683747,0.5253712084925856,0.6097887606181758,0.5692906227700609,0.3,8,350,10
3,1111111111,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.6320172823335061,0.4009051719924536,0.35081768506661715,0.5385577853588919,0.4422732915611773,0.5620863921173791,0.5327122902024418,0.5936305607960821,0.5473358031690795,0.5771693336331023,0.5489193654020977,0.3,8,350,10
4,1111111111,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.6281463524305725,0.3984614031143391,0.40920421110253075,0.555429565693395,0.571851692554325,0.5176000234601812,0.522243184328599,0.5436603747763952,0.5329957673923031,0.5811380142911604,0.5437776756825446,0.3,8,350,10
5,1111111111,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.6428969413788721,0.39663346399350935,0.3718145472673776,0.5136313428021232,0.5341296761517482,0.5482057848896883,0.5344815788701968,0.5655467688487894,0.528215755466711,0.5563581978670785,0.5511383075434257,0.3,8,350,10
6,1111111111,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.6308833735740609,0.3769171366848809,0.37478617022316496,0.5409233536329068,0.521285226928378,0.5467101983362821,0.5579222099490718,0.5766317044799171,0.5123117076079413,0.5846570414756453,0.5320573601431071,0.3,8,350,10
7,1111111111,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.6350084554403183,0.41764987634529477,0.4037692691176039,0.5652926168854654,0.49070879072540835,0.5390172139079774,0.47018113214924584,0.5752045434550982,0.5504247270310163,0.5724675223116099,0.5274630746522517,0.3,8,350,10
8,1111111111,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.6298178903432029,0.3860861575155668,0.39613493514237397,0.56773638576358,0.49484364766717825,0.5564168483201533,0.5561920215833668,0.548391511324425,0.5178835006500425,0.5902777098953089,0.5337288980557375,0.3,8,350,10
9,1111111111,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.6208150457962288,0.41540160897742934,0.3637989853471618,0.5323212871819435,0.46300622672310143,0.5740315343936032,0.5163976891721489,0.5871985611088846,0.5536407268746151,0.6022717275490953,0.5225755368960225,0.3,8,350,10
10,1111111111,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.6288306077164446,0.4017360534110126,0.438470787186831,0.5521940156987712,0.5618224650785427,0.5592027448412039,0.5446574324786659,0.5687725437679007,0.4849610463240829,0.5514022345822621,0.5224484609143606,0.3,8,350,10
