Combination,index,Clients,Global Accuracy,Trial,Max Iter or Depth,Client 1 Accuracy,Client 2 Accuracy,Client 3 Accuracy,Client 4 Accuracy,Client 5 Accuracy,Client 6 Accuracy,Client 7 Accuracy,Client 8 Accuracy,Client 9 Accuracy,Client 10 Accuracy,Client 11 Accuracy,Client 12 Accuracy,Client 13 Accuracy,Client 14 Accuracy,Client 15 Accuracy,n_clients
111111111111111,7,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]",0.9218241042345277,17,100,0.8490770901194354,0.8729641693811075,0.8686210640608035,0.8838219326818675,0.8317046688382194,0.8121606948968513,0.8425624321389794,0.8382193268186754,0.8588490770901195,0.8219326818675353,0.8577633007600435,0.8599348534201955,0.8490770901194354,0.8805646036916395,0.8241042345276873,15
111111111111111,7,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]",0.9120521172638436,18,100,0.8610206297502715,0.8545059717698155,0.8653637350705755,0.8208469055374593,0.8501628664495114,0.8718783930510315,0.8523344191096635,0.8610206297502715,0.8295331161780674,0.8599348534201955,0.8729641693811075,0.8610206297502715,0.8338762214983714,0.8360477741585234,0.8447339847991314,15
111111111111111,7,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]",0.9218241042345277,19,100,0.8523344191096635,0.8642779587404995,0.8642779587404995,0.8393051031487514,0.8186753528773073,0.8610206297502715,0.8501628664495114,0.8143322475570033,0.8458197611292074,0.8577633007600435,0.8729641693811075,0.8099891422366993,0.7806731813246471,0.8642779587404995,0.8458197611292074,15
111111111111111,7,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]",0.9207383279044516,20,100,0.8577633007600435,0.8512486427795874,0.8132464712269273,0.8686210640608035,0.8490770901194354,0.8653637350705755,0.8284473398479913,0.8512486427795874,0.8317046688382194,0.8762214983713354,0.8360477741585234,0.8783930510314875,0.8501628664495114,0.8403908794788274,0.8512486427795874,15
111111111111111,7,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]",0.9174809989142236,21,100,0.8534201954397395,0.8545059717698155,0.8610206297502715,0.8545059717698155,0.8675352877307275,0.8425624321389794,0.7774158523344191,0.8664495114006515,0.8425624321389794,0.8360477741585234,0.8555917480998915,0.8664495114006515,0.8534201954397395,0.8099891422366993,0.8251900108577633,15
111111111111111,7,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]",0.9185667752442996,22,100,0.8805646036916395,0.8501628664495114,0.8317046688382194,0.8675352877307275,0.8653637350705755,0.8718783930510315,0.8317046688382194,0.8479913137893594,0.8729641693811075,0.8469055374592834,0.8512486427795874,0.8165038002171553,0.8436482084690554,0.8458197611292074,0.8393051031487514,15
111111111111111,7,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]",0.9250814332247557,23,100,0.8371335504885994,0.8577633007600435,0.8469055374592834,0.8425624321389794,0.8686210640608035,0.8251900108577633,0.8360477741585234,0.8621064060803475,0.8306188925081434,0.8360477741585234,0.8284473398479913,0.8175895765472313,0.8610206297502715,0.8317046688382194,0.8273615635179153,15
111111111111111,7,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]",0.9174809989142236,24,100,0.8067318132464713,0.8642779587404995,0.8534201954397395,0.8642779587404995,0.8023887079261672,0.8729641693811075,0.8675352877307275,0.8577633007600435,0.8338762214983714,0.8317046688382194,0.8436482084690554,0.8295331161780674,0.8545059717698155,0.8284473398479913,0.8023887079261672,15
111111111111111,7,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]",0.9207383279044516,25,100,0.8143322475570033,0.8208469055374593,0.8045602605863192,0.8479913137893594,0.8762214983713354,0.8686210640608035,0.8262757871878393,0.8707926167209555,0.8653637350705755,0.8208469055374593,0.8349619978284474,0.8208469055374593,0.8165038002171553,0.8577633007600435,0.8664495114006515,15
111111111111111,7,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]",0.9174809989142236,26,100,0.8458197611292074,0.8447339847991314,0.8403908794788274,0.8241042345276873,0.8393051031487514,0.8425624321389794,0.8946796959826275,0.8794788273615635,0.8642779587404995,0.8512486427795874,0.8599348534201955,0.8588490770901195,0.8642779587404995,0.8469055374592834,0.8458197611292074,15
111111111111111,7,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]",0.9153094462540716,27,100,0.8034744842562432,0.8816503800217155,0.8610206297502715,0.8425624321389794,0.8599348534201955,0.8621064060803475,0.8447339847991314,0.8067318132464713,0.8056460369163952,0.8523344191096635,0.8403908794788274,0.8545059717698155,0.8241042345276873,0.8740499457111836,0.7969598262757872,15
111111111111111,7,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]",0.9239956568946797,28,100,0.8523344191096635,0.8631921824104235,0.8099891422366993,0.8555917480998915,0.8490770901194354,0.8490770901194354,0.8512486427795874,0.8458197611292074,0.8762214983713354,0.8686210640608035,0.8610206297502715,0.8501628664495114,0.8099891422366993,0.8241042345276873,0.8403908794788274,15
111111111111111,7,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]",0.9229098805646037,29,100,0.8686210640608035,0.8545059717698155,0.8317046688382194,0.8490770901194354,0.8447339847991314,0.8403908794788274,0.8403908794788274,0.8469055374592834,0.8577633007600435,0.8403908794788274,0.8393051031487514,0.8425624321389794,0.8056460369163952,0.8642779587404995,0.8610206297502715,15
111111111111111,7,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]",0.9218241042345277,30,100,0.8545059717698155,0.8512486427795874,0.8566775244299675,0.8610206297502715,0.8707926167209555,0.8479913137893594,0.8479913137893594,0.8631921824104235,0.8371335504885994,0.8588490770901195,0.8599348534201955,0.8469055374592834,0.8099891422366993,0.8642779587404995,0.8534201954397395,15
111111111111111,7,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]",0.9153094462540716,31,100,0.8479913137893594,0.8165038002171553,0.8599348534201955,0.8219326818675353,0.8414766558089034,0.8436482084690554,0.8783930510314875,0.8251900108577633,0.8675352877307275,0.8501628664495114,0.8555917480998915,0.8360477741585234,0.8707926167209555,0.8707926167209555,0.8686210640608035,15
111111111111111,7,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]",0.9174809989142236,32,100,0.8132464712269273,0.8338762214983714,0.8284473398479913,0.8382193268186754,0.8295331161780674,0.8479913137893594,0.8523344191096635,0.8664495114006515,0.8317046688382194,0.8838219326818675,0.8382193268186754,0.8208469055374593,0.8675352877307275,0.8219326818675353,0.8273615635179153,15
111111111111111,7,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]",0.9196525515743756,33,100,0.8078175895765473,0.8403908794788274,0.8631921824104235,0.8588490770901195,0.8317046688382194,0.8284473398479913,0.8534201954397395,0.8642779587404995,0.8501628664495114,0.8425624321389794,0.8393051031487514,0.8241042345276873,0.8545059717698155,0.8436482084690554,0.8284473398479913,15
111111111111111,7,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]",0.9185667752442996,34,100,0.8241042345276873,0.8251900108577633,0.7937024972855592,0.8436482084690554,0.8458197611292074,0.8534201954397395,0.8870792616720955,0.8371335504885994,0.8523344191096635,0.8403908794788274,0.8881650380021715,0.8501628664495114,0.7958740499457112,0.8110749185667753,0.8512486427795874,15
111111111111111,7,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]",0.9239956568946797,35,100,0.8588490770901195,0.8447339847991314,0.8414766558089034,0.8317046688382194,0.8469055374592834,0.8534201954397395,0.8751357220412594,0.8490770901194354,0.8479913137893594,0.8545059717698155,0.8382193268186754,0.8327904451682954,0.8588490770901195,0.8132464712269273,0.8534201954397395,15
111111111111111,7,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]",0.9229098805646037,36,100,0.8588490770901195,0.8642779587404995,0.8479913137893594,0.8436482084690554,0.8349619978284474,0.7893593919652552,0.8599348534201955,0.8121606948968513,0.8403908794788274,0.8306188925081434,0.8327904451682954,0.8892508143322475,0.8501628664495114,0.8512486427795874,0.8360477741585234,15
111111111111111,7,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]",0.9196525515743756,37,100,0.8783930510314875,0.8403908794788274,0.8675352877307275,0.8403908794788274,0.8566775244299675,0.8718783930510315,0.8447339847991314,0.8534201954397395,0.8186753528773073,0.8414766558089034,0.8241042345276873,0.8382193268186754,0.8534201954397395,0.8414766558089034,0.8306188925081434,15
111111111111111,7,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]",0.9207383279044516,38,100,0.8653637350705755,0.8501628664495114,0.8447339847991314,0.8555917480998915,0.8262757871878393,0.8588490770901195,0.8306188925081434,0.8697068403908795,0.8621064060803475,0.8284473398479913,0.8729641693811075,0.8317046688382194,0.8469055374592834,0.8501628664495114,0.8555917480998915,15
111111111111111,7,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]",0.9261672095548317,39,100,0.8599348534201955,0.8382193268186754,0.8447339847991314,0.8414766558089034,0.8165038002171553,0.8545059717698155,0.8469055374592834,0.8175895765472313,0.7904451682953312,0.8273615635179153,0.8631921824104235,0.8686210640608035,0.8816503800217155,0.8534201954397395,0.8707926167209555,15
111111111111111,7,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]",0.9142236699239956,40,100,0.8056460369163952,0.8143322475570033,0.8577633007600435,0.8707926167209555,0.8621064060803475,0.8469055374592834,0.7871878393051032,0.8621064060803475,0.8458197611292074,0.8241042345276873,0.8338762214983714,0.8447339847991314,0.8631921824104235,0.8588490770901195,0.8414766558089034,15
111111111111111,7,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]",0.9239956568946797,41,100,0.8479913137893594,0.8295331161780674,0.8697068403908795,0.8469055374592834,0.8425624321389794,0.8414766558089034,0.8881650380021715,0.8490770901194354,0.8621064060803475,0.8327904451682954,0.8414766558089034,0.8436482084690554,0.8664495114006515,0.8284473398479913,0.8338762214983714,15
111111111111111,7,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]",0.9174809989142236,42,100,0.8610206297502715,0.8360477741585234,0.8251900108577633,0.8545059717698155,0.8599348534201955,0.8284473398479913,0.8816503800217155,0.8707926167209555,0.8610206297502715,0.8436482084690554,0.8621064060803475,0.8599348534201955,0.8447339847991314,0.8403908794788274,0.8783930510314875,15
111111111111111,7,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]",0.9120521172638436,43,100,0.8154180238870793,0.8067318132464713,0.8523344191096635,0.8805646036916395,0.8621064060803475,0.8545059717698155,0.8251900108577633,0.8718783930510315,0.8501628664495114,0.8143322475570033,0.8555917480998915,0.8306188925081434,0.8349619978284474,0.8262757871878393,0.8306188925081434,15
111111111111111,7,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]",0.9120521172638436,44,100,0.8479913137893594,0.8317046688382194,0.8360477741585234,0.8588490770901195,0.8436482084690554,0.8664495114006515,0.8686210640608035,0.8523344191096635,0.8403908794788274,0.8382193268186754,0.8371335504885994,0.8555917480998915,0.8382193268186754,0.8154180238870793,0.8686210640608035,15
111111111111111,7,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]",0.9239956568946797,45,100,0.8479913137893594,0.8295331161780674,0.8697068403908795,0.8469055374592834,0.8425624321389794,0.8414766558089034,0.8881650380021715,0.8490770901194354,0.8621064060803475,0.8327904451682954,0.8414766558089034,0.8436482084690554,0.8664495114006515,0.8284473398479913,0.8338762214983714,15
111111111111111,7,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]",0.9131378935939196,46,100,0.8773072747014115,0.8469055374592834,0.8382193268186754,0.8805646036916395,0.8458197611292074,0.8425624321389794,0.8805646036916395,0.7926167209554832,0.8545059717698155,0.8501628664495114,0.8099891422366993,0.8295331161780674,0.8371335504885994,0.8751357220412594,0.8566775244299675,15
111111111111111,7,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]",0.9261672095548317,47,100,0.8707926167209555,0.8577633007600435,0.8436482084690554,0.8588490770901195,0.8382193268186754,0.8501628664495114,0.8653637350705755,0.8175895765472313,0.8675352877307275,0.8512486427795874,0.8382193268186754,0.8295331161780674,0.8555917480998915,0.8045602605863192,0.8501628664495114,15
111111111111111,7,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]",0.9174809989142236,48,100,0.8501628664495114,0.8371335504885994,0.8631921824104235,0.8664495114006515,0.8512486427795874,0.8186753528773073,0.8512486427795874,0.8469055374592834,0.8327904451682954,0.8501628664495114,0.8534201954397395,0.8610206297502715,0.8197611292073833,0.8175895765472313,0.8458197611292074,15
111111111111111,7,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]",0.9218241042345277,49,100,0.8512486427795874,0.8588490770901195,0.8686210640608035,0.8490770901194354,0.8284473398479913,0.8718783930510315,0.8382193268186754,0.8371335504885994,0.8317046688382194,0.8707926167209555,0.8436482084690554,0.8230184581976113,0.8512486427795874,0.8175895765472313,0.8230184581976113,15
111111111111111,7,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]",0.9174809989142236,50,100,0.8783930510314875,0.8653637350705755,0.8338762214983714,0.8523344191096635,0.8545059717698155,0.8469055374592834,0.8393051031487514,0.8403908794788274,0.8588490770901195,0.8697068403908795,0.8295331161780674,0.8653637350705755,0.8555917480998915,0.8284473398479913,0.8447339847991314,15
