Combination,index,Clients,Global Accuracy,Trial,Noise Std,Corrupted Clients,Max Iter or Depth,Client 1 Accuracy(low-quality client),Client 2 Accuracy(low-quality client),Client 3 Accuracy(low-quality client),Client 4 Accuracy(low-quality client),Client 5 Accuracy,Client 6 Accuracy,Client 7 Accuracy,Client 8 Accuracy,Client 9 Accuracy,Client 10 Accuracy
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.7126315789473684,1,1,4,10,0.26526315789473687,0.26842105263157895,0.5294736842105263,0.45263157894736844,0.4357894736842105,0.6273684210526316,0.5410526315789473,0.4936842105263158,0.36947368421052634,0.41157894736842104
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.7694736842105263,2,1,4,10,0.4105263157894737,0.27578947368421053,0.531578947368421,0.6147368421052631,0.5778947368421052,0.42947368421052634,0.4126315789473684,0.56,0.5231578947368422,0.508421052631579
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.7063157894736842,3,1,4,10,0.38526315789473686,0.39789473684210525,0.32,0.48105263157894734,0.4768421052631579,0.4936842105263158,0.6452631578947369,0.41157894736842104,0.5968421052631578,0.52
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.72,4,1,4,10,0.38842105263157894,0.28526315789473683,0.5136842105263157,0.4631578947368421,0.5189473684210526,0.46,0.5673684210526316,0.4147368421052632,0.5389473684210526,0.4673684210526316
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.748421052631579,5,1,4,10,0.4126315789473684,0.37157894736842106,0.5442105263157895,0.5210526315789473,0.54,0.5947368421052631,0.5957894736842105,0.6126315789473684,0.511578947368421,0.31684210526315787
0000001011,10,"[1, 2, 4]",0.3705263157894737,6,1,4,10,0.33052631578947367,0.34421052631578947,0.4463157894736842,0.32421052631578945,0.508421052631579,0.4189473684210526,0.4726315789473684,0.5378947368421053,0.5652631578947368,0.5252631578947369
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.7052631578947368,6,1,4,10,0.33052631578947367,0.34421052631578947,0.4463157894736842,0.32421052631578945,0.508421052631579,0.4189473684210526,0.4726315789473684,0.5378947368421053,0.5652631578947368,0.5252631578947369
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.7315789473684211,7,1,4,10,0.5821052631578948,0.4073684210526316,0.4884210526315789,0.4,0.4189473684210526,0.4589473684210526,0.6273684210526316,0.5821052631578948,0.42210526315789476,0.3736842105263158
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.7473684210526316,8,1,4,10,0.5778947368421052,0.38842105263157894,0.5673684210526316,0.3894736842105263,0.3505263157894737,0.39789473684210525,0.48526315789473684,0.41157894736842104,0.5357894736842105,0.5915789473684211
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.7536842105263157,9,1,4,10,0.48526315789473684,0.3473684210526316,0.31473684210526315,0.5168421052631579,0.5621052631578948,0.48,0.5715789473684211,0.6157894736842106,0.5263157894736842,0.4589473684210526
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.7673684210526316,10,1,4,10,0.43473684210526314,0.31157894736842107,0.6042105263157894,0.49473684210526314,0.4705263157894737,0.5831578947368421,0.6957894736842105,0.4105263157894737,0.48,0.5094736842105263
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.7431578947368421,11,1,4,10,0.4421052631578947,0.3431578947368421,0.47157894736842104,0.5389473684210526,0.4968421052631579,0.511578947368421,0.6526315789473685,0.4378947368421053,0.3642105263157895,0.5
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.751578947368421,12,1,4,10,0.3631578947368421,0.5284210526315789,0.4463157894736842,0.38526315789473686,0.3526315789473684,0.3831578947368421,0.5778947368421052,0.6631578947368421,0.5652631578947368,0.5094736842105263
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.7694736842105263,13,1,4,10,0.45263157894736844,0.3684210526315789,0.4631578947368421,0.3336842105263158,0.5926315789473684,0.48947368421052634,0.6231578947368421,0.6178947368421053,0.5063157894736842,0.52
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.78,14,1,4,10,0.3821052631578947,0.34,0.37473684210526315,0.5231578947368422,0.4726315789473684,0.3957894736842105,0.6947368421052632,0.6010526315789474,0.5442105263157895,0.5726315789473684
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.7431578947368421,15,1,4,10,0.3389473684210526,0.2305263157894737,0.5473684210526316,0.30736842105263157,0.5347368421052632,0.47157894736842104,0.671578947368421,0.6147368421052631,0.40210526315789474,0.4968421052631579
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.7294736842105263,16,1,4,10,0.46421052631578946,0.4010526315789474,0.3894736842105263,0.48105263157894734,0.5073684210526316,0.4568421052631579,0.6252631578947369,0.46210526315789474,0.5231578947368422,0.5357894736842105
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.7694736842105263,17,1,4,10,0.3989473684210526,0.3463157894736842,0.5294736842105263,0.29157894736842105,0.5947368421052631,0.6147368421052631,0.5842105263157895,0.6810526315789474,0.5905263157894737,0.5010526315789474
1011100111,742,"[1, 2, 3, 6, 7, 8, 10]",0.49473684210526314,18,1,4,10,0.26,0.3231578947368421,0.32421052631578945,0.5431578947368421,0.5463157894736842,0.4705263157894737,0.4010526315789474,0.33473684210526317,0.5652631578947368,0.4768421052631579
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.6336842105263157,18,1,4,10,0.26,0.3231578947368421,0.32421052631578945,0.5431578947368421,0.5463157894736842,0.4705263157894737,0.4010526315789474,0.33473684210526317,0.5652631578947368,0.4768421052631579
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.7378947368421053,19,1,4,10,0.3463157894736842,0.44105263157894736,0.2673684210526316,0.4557894736842105,0.5957894736842105,0.4105263157894737,0.5968421052631578,0.54,0.5157894736842106,0.631578947368421
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.7357894736842105,20,1,4,10,0.5368421052631579,0.2905263157894737,0.4494736842105263,0.3452631578947368,0.5105263157894737,0.49894736842105264,0.6126315789473684,0.44842105263157894,0.5378947368421053,0.5684210526315789
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.7578947368421053,21,1,4,10,0.4378947368421053,0.4378947368421053,0.4863157894736842,0.3821052631578947,0.4568421052631579,0.6147368421052631,0.6442105263157895,0.4673684210526316,0.5252631578947369,0.4863157894736842
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.7526315789473684,22,1,4,10,0.3263157894736842,0.2736842105263158,0.5378947368421053,0.5126315789473684,0.5736842105263158,0.5968421052631578,0.3957894736842105,0.6126315789473684,0.5831578947368421,0.4747368421052632
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.728421052631579,23,1,4,10,0.391578947368421,0.41578947368421054,0.3505263157894737,0.4168421052631579,0.5147368421052632,0.42210526315789476,0.7063157894736842,0.5263157894736842,0.511578947368421,0.41368421052631577
0100010111,278,"[1, 2, 3, 5, 9]",0.4610526315789474,24,1,4,10,0.38842105263157894,0.24526315789473685,0.3705263157894737,0.5589473684210526,0.45789473684210524,0.6347368421052632,0.6105263157894737,0.5536842105263158,0.37894736842105264,0.5147368421052632
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.7694736842105263,24,1,4,10,0.38842105263157894,0.24526315789473685,0.3705263157894737,0.5589473684210526,0.45789473684210524,0.6347368421052632,0.6105263157894737,0.5536842105263158,0.37894736842105264,0.5147368421052632
