Combination,index,Clients,Global Accuracy,Trial,Noise Std,Corrupted Clients,Max Iter or Depth,Client 1 Accuracy(low-quality client),Client 2 Accuracy(low-quality client),Client 3 Accuracy(low-quality client),Client 4 Accuracy(low-quality client),Client 5 Accuracy(low-quality client),Client 6 Accuracy(low-quality client),Client 7 Accuracy(low-quality client),Client 8 Accuracy(low-quality client),Client 9 Accuracy,Client 10 Accuracy
1100101011,810,"[1, 2, 4, 6, 9, 10]",0.4663157894736842,1,0.5,8,10,0.29578947368421055,0.24210526315789474,0.5894736842105263,0.3021052631578947,0.5431578947368421,0.4,0.5336842105263158,0.5631578947368421,0.36947368421052634,0.41157894736842104
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.7347368421052631,1,0.5,8,10,0.29578947368421055,0.24210526315789474,0.5894736842105263,0.3021052631578947,0.5431578947368421,0.4,0.5336842105263158,0.5631578947368421,0.36947368421052634,0.41157894736842104
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.7378947368421053,2,0.5,8,10,0.41368421052631577,0.5178947368421053,0.44526315789473686,0.5957894736842105,0.4884210526315789,0.3873684210526316,0.5010526315789474,0.588421052631579,0.5231578947368422,0.508421052631579
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.7694736842105263,3,0.5,8,10,0.4242105263157895,0.6136842105263158,0.4936842105263158,0.5642105263157895,0.6021052631578947,0.5221052631578947,0.6210526315789474,0.5178947368421053,0.5968421052631578,0.52
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.7652631578947369,4,0.5,8,10,0.5757894736842105,0.22736842105263158,0.5873684210526315,0.6326315789473684,0.4378947368421053,0.5410526315789473,0.5126315789473684,0.5663157894736842,0.5389473684210526,0.4673684210526316
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.7210526315789474,5,0.5,8,10,0.42105263157894735,0.30736842105263157,0.5894736842105263,0.4073684210526316,0.4557894736842105,0.4957894736842105,0.5378947368421053,0.52,0.511578947368421,0.31684210526315787
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.7305263157894737,6,0.5,8,10,0.44526315789473686,0.5242105263157895,0.48210526315789476,0.4,0.5031578947368421,0.5578947368421052,0.5536842105263158,0.4663157894736842,0.5652631578947368,0.5252631578947369
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.74,7,0.5,8,10,0.5105263157894737,0.2831578947368421,0.45789473684210524,0.36526315789473685,0.5052631578947369,0.4610526315789474,0.5336842105263158,0.5357894736842105,0.42210526315789476,0.3736842105263158
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.7252631578947368,8,0.5,8,10,0.36105263157894735,0.33052631578947367,0.5821052631578948,0.3894736842105263,0.5421052631578948,0.5431578947368421,0.4147368421052632,0.5410526315789473,0.5357894736842105,0.5915789473684211
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.7210526315789474,9,0.5,8,10,0.5589473684210526,0.42947368421052634,0.391578947368421,0.36526315789473685,0.5305263157894737,0.4378947368421053,0.4926315789473684,0.531578947368421,0.5263157894736842,0.4589473684210526
